psmiles,value
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)c2cc(c(cc2)Oc2cc3c(C(CC3(c3ccc(cc3)Oc3c(cc(cc3)c3ccc(cc3)N3C(=O)c4c(C3=O)cc(cc4)C(=O)*)C(F)(F)F)C)(C)C)cc2)C(F)(F)F)cc1,1.15
*C(C*)(C(=O)OCCCC)Cl,1.24
*N1C(=O)c2c(C1=O)cc(cc2)c1cc2c(C(=O)N(C2=O)c2cc(c(c(c2)C(=O)OCCCC)c2c(cc(cc2Br)*)C(=O)OCCCC)Br)cc1,1.387
*C1CC2CC(CC(C1)O2)OC(=O)OCCOC(=O)NC(=O)NNC(=O)NC(=O)OCCOC(=O)O*,1.21
*n1c(=O)c2cc3c(cc2c1=O)c(=O)n(c3=O)c1cc(ccc1)Oc1ccc(cc1)*,1.448666667
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)Cc2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(=O)*)cc1,1.338862857
*Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Oc1ccc(cc1)C(=O)c1ccc(cc1)*,1.317
*SCCCCC(=O)NCc1ccc(cc1)CNC(=O)CCCC*,1.2005
*NC(=O)CCCCCCCC(=O)NCCCCCCCCC*,1.051
*NC(=O)CCCCCCCCCCCCCCCCC(=O)NCc1ccc(cc1)C*,1.075
*N1C(=O)c2c(C1=O)cc(cc2)Oc1ccc(cc1)C(c1ccc(cc1)Oc1cc2c(C(=O)N(C2=O)c2ccc(cc2)c2cc(c(cc2)Oc2cc3c(C(CC3(c3ccc(cc3)Oc3c(cc(cc3)c3ccc(cc3)*)C(F)(F)F)C)(C)C)cc2)C(F)(F)F)cc1)(C)C,1.12
*c1ncc(nc1)C1C(C(C1c1ccccc1)*)c1ccccc1,1.257
*C1(c2c(C(=O)O1)cccc2)c1ccc(cc1)OC(=O)c1c(cccc1)C=Cc1ccc(cc1)C=Cc1c(cccc1)C(=O)Oc1ccc(cc1)*,1.196
*Oc1ccc(cc1)C(c1ccc(cc1)Oc1c(c(c(c(c1F)F)COC(c1cc(ccc1)C(OCc1c(c(c(c(c1F)F)*)F)F)(C(F)(F)F)C(F)(F)F)(C(F)(F)F)C(F)(F)F)F)F)(C)C,1.535
*OCC(C*)(CO)C,1.144
*SCCCCCCCCCCC(=O)NCc1ccc(cc1)CNC(=O)CCCCCCCCCC*,1.094
*Oc1ccc(cc1)C(c1ccc(cc1)Oc1ccc(cc1)C(=O)c1ccc(cc1)C(c1ccc(cc1)C(=O)c1ccc(cc1)*)(C(F)(F)F)C(F)(F)F)(C)C,1.284
*OC(=O)C(C*)(CC)C,1.078571429
*OC(=O)CCCCC(=O)OCCCCCC(=O)Nc1ccc(cc1)NC(=O)CCCCC*,1.12
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)Oc2ccc(cc2)C(c2ccc(cc2)Oc2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(=O)*)(C(F)(F)F)C(F)(F)F)cc1,1.391816667
*n1c(=O)c2cc3c(cc2c1=O)c(=O)n(c3=O)c1cc(c(cc1)c1c(cc(cc1)*)C)C,1.34
*O[Si](*)(CCCOc1ccc(cc1)C(=O)OC1CC2=CCC3C(CCC4(C(CCC34)C(CCCC(C)C)C)C)C2(CC1)C)C,1.24
*OC(=O)CCC(=O)OCCCC*,1.284376471
*N1C(=O)c2c(C1=O)cc(cc2)c1cc2c(C(=O)N(C2=O)c2ccc(cc2)Sc2ccc(cc2)*)cc1,1.36821
*C(C*)(C(=O)OCc1c(c(ccc1)Cl)Cl)C,1.451
*N1C(=O)c2c(C1=O)cc(cc2)C(c1cc2c(C(=O)N(C2=O)CCCCCC*)cc1)(C(F)(F)F)C(F)(F)F,1.424
*C(C*)C1CC(CCC1)C,0.9237
*C1(OC(C(O1)(F)C(F)(F)F)(F)F)C(*)(F)F,2.04
*N1C(=O)c2c(C1=O)cc(cc2)Oc1ccc(cc1)Oc1cc2c(C(=O)N(C2=O)c2c(cc(cc2)c2cc(c(cc2)*)OC)OC)cc1,1.29
*OC(=O)C(C*)(CC)CC,1.115
*NC(C(=O)*)CC(=O)OCc1ccc(cc1)Cl,1.405
*C(C*)(C(=O)Oc1ccc(cc1)C=Cc1ccccc1)C,1.283
