psmiles,value
*n1c(nc2c1cccc2)c1ccc(cc1)Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Oc1ccc(cc1)c1nc2c(n1c1ccc(cc1)c1ccc(cc1)*)cccc2,493
*c1nc2c(n1c1ccc(cc1)n1c(nc3c1cccc3)c1ccc(cc1)Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Oc1ccc(cc1)*)cccc2,467
*n1c(nc2c1cccc2)c1ccc(cc1)Oc1ccc(cc1)C(=O)c1ccc(cc1)Oc1ccc(cc1)c1nc2c(n1c1ccc(cc1)c1ccc(cc1)*)cccc2,484
*c1nc2c(n1c1ccc(cc1)n1c(nc3c1cccc3)c1ccc(cc1)Oc1ccc(cc1)C(=O)c1ccc(cc1)Oc1ccc(cc1)*)cccc2,522
*n1c(nc2c1cccc2)c1ccc(cc1)Oc1ccc(cc1)C(=O)c1ccc(cc1)C(=O)c1ccc(cc1)Oc1ccc(cc1)c1nc2c(n1c1ccc(cc1)c1ccc(cc1)*)cccc2,510
*c1nc2c(n1c1ccc(cc1)n1c(nc3c1cccc3)c1ccc(cc1)Oc1ccc(cc1)C(=O)c1ccc(cc1)C(=O)c1ccc(cc1)Oc1ccc(cc1)*)cccc2,513
*n1c(nc2c1cccc2)c1ccc(cc1)Oc1ccc(cc1)C(=O)c1cc(ccc1)C(=O)c1ccc(cc1)Oc1ccc(cc1)c1nc2c(n1c1ccc(cc1)c1ccc(cc1)*)cccc2,515
*c1nc2c(n1c1ccc(cc1)n1c(nc3c1cccc3)c1ccc(cc1)Oc1ccc(cc1)C(=O)c1cc(ccc1)C(=O)c1ccc(cc1)Oc1ccc(cc1)*)cccc2,512
*n1c(nc2c1cccc2)c1ccc(cc1)Oc1ccc(cc1)C(=O)c1ccc(cc1)Oc1ccc(cc1)C(=O)c1ccc(cc1)Oc1ccc(cc1)c1nc2c(n1c1ccc(cc1)c1ccc(cc1)*)cccc2,502
*c1nc2c(n1c1ccc(cc1)n1c(nc3c1cccc3)c1ccc(cc1)Oc1ccc(cc1)C(=O)c1ccc(cc1)Oc1ccc(cc1)C(=O)c1ccc(cc1)Oc1ccc(cc1)*)cccc2,514
*Oc1cc(ccc1)NC(=O)c1cc(ccc1)C(=O)Nc1ccc(cc1)*,410
*Oc1cc(ccc1)NC(=O)c1ccc(cc1)C(=O)c1cc(ccc1)C(=O)Nc1ccc(cc1)*,430
*c1oc(cc1)CC*,356.5
*Oc1ccc(cc1)NC(=O)c1ccc(cc1)P(=O)(c1ccc(cc1)C(=O)Nc1ccc(cc1)*)c1ccccc1,435
*Oc1cc(ccc1)NC(=O)c1ccc(cc1)P(=O)(c1ccc(cc1)C(=O)Nc1cc(ccc1)Oc1ccc(cc1)P(=O)(c1ccc(cc1)*)c1ccccc1)c1ccccc1,450
*Oc1ccc(cc1)NC(=O)c1ccc(cc1)P(=O)(c1ccc(cc1)C(=O)Nc1ccc(cc1)Oc1ccc(cc1)P(=O)(c1ccc(cc1)*)c1ccccc1)c1ccccc1,440
*Oc1c(cc(c(c1)OC)*)OC,245
*c1sc2c(n1)ccc(c2)c1ccc2c(sc(n2)CCCCCCCC*)c1,300
*c1sc(cc1)CC*,398
*OC(=O)CCC(=O)OCCCC*,363.1428571
*OC(=O)CCCCCCCCC(=O)OCCCC*,350
*OC(=O)CCCCCCCCC(=O)OCCCCCC*,338.5
*OC(=O)c1ccc(cc1)C(=O)OCC*,408.7625
*OC(=O)c1ccc(cc1)C(=O)OCCCC*,373.5666667
*OC(=O)c1ccc(cc1)C(=O)OCCCCCC*,370
*Oc1ccc(cc1)C(c1ccc(cc1)OC(=O)c1ccc(cc1)C(=O)*)(C)C,486
*OC(=O)c1cc2c(cc1)cc(cc2)C(=O)OCC*,410.5
*OC(=O)CCC(=O)OCCCCCC*,361
*OC(=O)CCCCC*,355.6666667
*OC(CC(=O)*)C,251
*OC(C(=O)*)C,331.456
*Oc1c(cc(cc1)C=Nc1c2c(ccc1)c(ccc2)N=Cc1cc(c(cc1)OC(=O)c1cc(ccc1)C(=O)*)OC)OC,240
*Oc1c(cc(cc1)C=Nc1c2c(ccc1)c(ccc2)N=Cc1cc(c(cc1)OC(=O)c1ccc(cc1)C(=O)*)OC)OC,250
*Oc1c(cc(cc1)C=Nc1c2c(ccc1)c(ccc2)N=Cc1cc(c(cc1)OC(=O)CCCCCCCCC(=O)*)OC)OC,230
*Oc1c(cc(cc1)C=Nc1ccc(cc1)N=Cc1cc(c(cc1)OC(=O)CCCCC(=O)*)OC)OC,190
*Oc1c(cc(cc1)C=Nc1ccc(cc1)N=Cc1cc(c(cc1)OC(=O)c1cc(ccc1)C(=O)*)OC)OC,235
*Oc1c(cc(cc1)C=Nc1ccc(cc1)N=Cc1cc(c(cc1)OC(=O)CCCCCCCCC(=O)*)OC)OC,190
*OC(=O)CCCCCCCC(=O)OCCCC*,350
*OC(=O)COCC(=O)OCCCC*,380
*OC(=O)c1cc(ccc1)c1cc(ccc1)C(=O)OCC(C(C(C*)(F)F)(F)F)(F)F,446
*OC(=O)c1cc(ccc1)C(C(C(c1cc(ccc1)C(=O)OCC(C(C(C*)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,437
*OC(=O)c1cc2c(cc1)cc(cc2)C(=O)OCCC*,379
*Oc1c(cc(cc1)C=Nc1ccc(cc1)c1ccc(cc1)N=Cc1cc(c(cc1)OC(=O)CCCCCCCCC(=O)*)OC)OC,320
*Oc1c(cc(cc1)C=Nc1ccc(cc1)c1ccc(cc1)N=Cc1cc(c(cc1)OC(=O)CCCCC(=O)*)OC)OC,320
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)C(=O)Nc2ccc(cc2)C(=O)OCCCCOC(=O)*)cc1,415
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)C(=O)Nc2ccc(cc2)C(=O)OCCCCCOC(=O)*)cc1,410
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)C(=O)Nc2ccc(cc2)C(=O)OCCCCCCOC(=O)*)cc1,413
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)C(=O)Nc2ccc(cc2)C(=O)OCCCCCCCOC(=O)*)cc1,410
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)C(=O)Nc2ccc(cc2)C(=O)OCCCCCCCCOC(=O)*)cc1,412
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)C(=O)Nc2ccc(cc2)C(=O)OCCCCCCCCCOC(=O)*)cc1,405
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)C(=O)Nc2ccc(cc2)C(=O)OCCCCCCCCCCOC(=O)*)cc1,402
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)C(=O)Nc2ccc(cc2)C(=O)OCCCCCCCCCCCCOC(=O)*)cc1,405
