n_components,smiles_1,smiles_2,smiles_3,smiles_4,smiles_5,smiles_6,smiles_7,ratio_1,ratio_2,ratio_3,ratio_4,ratio_5,ratio_6,ratio_7,tg
2,O=C(O)c1cccc(C(=O)O)c1,OCCCCO,,,,,,0.5,0.5,,,,,,16.0
2,O=C(O)C1CCCC(C(=O)O)C1,OCCCCO,,,,,,0.5,0.5,,,,,,-12.0
5,O=C(O)CCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,CC(CO)CO,,,0.1455,0.3545,0.227,0.005,0.268,,,33.25
2,O=C(O)c1ccc(C(=O)O)cc1,OCCCCO,,,,,,0.5,0.5,,,,,,32.0
5,O=C(O)CCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,OCC1CCC(CO)CC1,CCC(CO)(CO)CO,CC(CO)CO,,,0.071,0.4288,0.1934,0.02,0.2869,,,37.97
4,O=C(O)CCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,CC1(C)C(O)C(C)(C)C1O,CC(CO)CO,,,,0.146,0.354,0.2235,0.2765,,,,29.34
2,O=C(O)C1CCCC(C(=O)O)C1,CC(C)(CO)CO,,,,,,0.5,0.5,,,,,,19.0
5,O=C(O)c1cccc(C(=O)O)c1,OCC1CCC(CO)CC1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,CC(CO)CO,,,0.5,0.1415,0.096,0.017,0.2455,,,61.57
2,O=C(O)C1CCC(C(=O)O)CC1,OCCCCO,,,,,,0.5,0.5,,,,,,-12.0
3,O=C(O)c1cccc(C(=O)O)c1,OCC1CCC(CO)CC1,CC(CO)CO,,,,,0.5,0.2035,0.2965,,,,,56.23
6,O=C(O)CCCCCCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,CC(C)(CO)CO,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,,0.15,0.215,0.135,0.37,0.12,0.01,,22.0
5,O=C(O)CCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,OCC1CCC(CO)CC1,CCC(CO)(CO)CO,CC(CO)CO,,,0.0705,0.4293,0.1934,0.0205,0.2864,,,37.17
2,O=C(O)C1CCCC(C(=O)O)C1,OCCOCCO,,,,,,0.5,0.5,,,,,,-11.0
5,O=C(O)CCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,CC(CO)CO,,,0.1494,0.3503,0.2129,0.0175,0.2699,,,33.0
5,O=C(O)CCCCCCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,CCC(CO)(CO)CO,OCC1CC2C3CC(CO)C(C3)C2C1,,,0.058,0.3208,0.1214,0.031,0.4688,,,52.23
5,O=C(O)CCCCCCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,OCC1CCC(CO)CC1,CCC(CO)(CO)CO,CC(CO)CO,,,0.0805,0.4197,0.1956,0.0165,0.2876,,,31.41
6,O=C(O)CCCCCCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,OCC1CCC(CO)CC1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,,0.147,0.254,0.099,0.242,0.254,0.004,,40.78
4,O=C(O)CCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,CC1(C)C(O)C(C)(C)C1O,CC(CO)CO,,,,0.1455,0.3545,0.2265,0.2735,,,,31.91
5,O=C(O)CCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,OCC1CCC(CO)CC1,CCC(CO)(CO)CO,CC(CO)CO,,,0.0715,0.4285,0.1935,0.019,0.2875,,,37.26
5,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,OCC1CCC(CO)CC1,CC1(C)C(O)C(C)(C)C1O,CC(CO)CO,,,0.35,0.15,0.2265,0.222,0.0515,,,100.5
6,O=C(O)C1CCC(C(=O)O)CC1,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,CC(C)(CO)CO,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,,0.1528,0.2488,0.0984,0.2937,0.2008,0.0055,,66.75
2,O=C(O)CCCCCCCCC(=O)O,OCC1CCCC(CO)C1,,,,,,0.5,0.5,,,,,,-40.55
5,O=C(O)CCCCCCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,CC(CO)CO,,,0.1524,0.3473,0.2079,0.0195,0.2729,,,32.0
