n_components,smiles_1,smiles_2,smiles_3,smiles_4,smiles_5,smiles_6,smiles_7,ratio_1,ratio_2,ratio_3,ratio_4,ratio_5,ratio_6,ratio_7,tg
5,O=C(O)CCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,CC(C)(CO)CO,CC1(C)C(O)C(C)(C)C1O,,,0.2,0.185,0.115,0.38,0.12,,,19.0
2,O=C(O)c1ccc(C(=O)O)cc1,OCCOCCO,,,,,,0.5,0.5,,,,,,21.0
5,O=C(O)CCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,CC(CO)CO,,,0.1495,0.3505,0.2135,0.036,0.2505,,,37.0
4,O=C(O)CCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,CC1(C)C(O)C(C)(C)C1O,CC(CO)CO,,,,0.145,0.355,0.2255,0.2745,,,,36.7
5,O=C(O)CCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,CC(CO)CO,,,0.1495,0.3505,0.2285,0.0045,0.267,,,35.54
5,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,OCC1CCC(CO)CC1,CCC(CO)(CO)CO,CC(CO)CO,,,0.4295,0.0705,0.1935,0.0195,0.287,,,56.52
2,O=C(O)c1ccccc1C(=O)O,CC(C)(CO)CO,,,,,,0.5,0.5,,,,,,41.0
2,O=C(O)CCCCC(=O)O,CC1(C)C(O)C(C)(C)C1O,,,,,,0.5,0.5,,,,,,-8.0
5,O=C(O)CCCCCCCCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,CC(C)(CO)CO,CC1(C)C(O)C(C)(C)C1O,,,0.1,0.245,0.155,0.38,0.12,,,33.0
5,O=C(O)CCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,CC(CO)CO,,,0.1425,0.3575,0.2305,0.0055,0.264,,,32.26
7,O=C(O)CCCCCCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,OCC1CCC(CO)CC1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,CC(CO)CO,0.0785,0.31,0.1115,0.14,0.226,0.0325,0.1015,55.26
4,O=C(O)c1cccc(C(=O)O)c1,OCC1CCC(CO)CC1,CCC(CO)(CO)CO,CC(CO)CO,,,,0.5,0.199,0.009,0.292,,,,56.57
2,O=C(O)c1cccc(C(=O)O)c1,OCCCCCCO,,,,,,0.5,0.5,,,,,,3.0
2,O=C(O)C1CCC(C(=O)O)CC1,CC(C)(CO)CO,,,,,,0.5,0.5,,,,,,17.0
2,O=C(O)c1cccc(C(=O)O)c1,CC(C)(CO)CO,,,,,,0.5,0.5,,,,,,64.0
6,O=C(O)CCCCCCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,OCC1CCC(CO)CC1,OCC1CCCC(CO)C1,CCC(CO)(CO)CO,,0.0505,0.3285,0.121,0.2055,0.264,0.0305,,55.36
2,O=C(O)C1CCC(C(=O)O)CC1,OCC1CCC(CO)CC1,,,,,,0.5,0.5,,,,,,42.0
5,O=C(O)CCCCCCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,CC(C)(CO)CO,CC1(C)C(O)C(C)(C)C1O,,,0.15,0.215,0.135,0.38,0.12,,,23.0
4,O=C(O)c1cccc(C(=O)O)c1,OCC1CCC(CO)CC1,CCC(CO)(CO)CO,CC(CO)CO,,,,0.5,0.199,0.0095,0.2915,,,,53.78
6,O=C(O)CCCCCCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,CCC(CO)(CO)CO,CC(CO)CO,OCC1CC2C3CC(CO)C(C3)C2C1,,0.1516,0.003,0.3457,0.0325,0.095,0.3722,,34.01
5,O=C(O)CCCCCCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,CC(CO)CO,,,0.1901,0.3102,0.2136,0.0575,0.2286,,,18.0
5,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,CC(CO)CO,,,0.35,0.15,0.25,0.01,0.24,,,78.89
6,O=C(O)C1CCC(C(=O)O)CC1,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,CC(C)(CO)CO,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,,0.153,0.2505,0.0965,0.2915,0.2025,0.006,,61.8
6,O=C(O)C1CCC(C(=O)O)CC1,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,OCC1CCC(CO)CC1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,,0.1526,0.2486,0.0985,0.2696,0.2266,0.004,,85.75
4,O=C(O)c1cccc(C(=O)O)c1,OCC1CCC(CO)CC1,CCC(CO)(CO)CO,CC(CO)CO,,,,0.5,0.198,0.009,0.293,,,,54.49
2,O=C(O)CCCCC(=O)O,OCCOCCO,,,,,,0.5,0.5,,,,,,-46.0
6,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,OCCCCCCO,OCC1CCC(CO)CC1,CC1(C)C(O)C(C)(C)C1O,OCC1CC2C3CC(CO)C(C3)C2C1,,0.3545,0.1448,0.0499,0.2247,0.1138,0.1123,,89.7
4,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,OCC1CCC(CO)CC1,CC1(C)C(O)C(C)(C)C1O,,,,0.4232,0.077,0.2811,0.2186,,,,70.61
5,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,OCC1CCC(CO)CC1,CCC(CO)(CO)CO,CC(CO)CO,,,0.44,0.06,0.193,0.02,0.287,,,57.11
2,O=C(O)C1CCC(C(=O)O)CC1,CC1(C)C(O)C(C)(C)C1O,,,,,,0.5,0.5,,,,,,80.0
6,O=C(O)CCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,CC(C)(CO)CO,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,,0.2,0.185,0.115,0.37,0.11,0.02,,22.0
5,O=C(O)CCCCCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,CC(C)(CO)CO,CC1(C)C(O)C(C)(C)C1O,,,0.15,0.215,0.135,0.38,0.12,,,21.89
5,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,OCC1CCC(CO)CC1,CCC(CO)(CO)CO,CC(CO)CO,,,0.4395,0.0605,0.1935,0.02,0.2865,,,58.66
6,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,OCC1CCC(CO)CC1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,CC(CO)CO,,0.4273,0.0725,0.2159,0.2519,0.0085,0.024,,89.97
2,O=C(O)c1cccc(C(=O)O)c1,OCC1CCC(CO)CC1,,,,,,0.5,0.5,,,,,,77.0
4,O=C(O)c1cccc(C(=O)O)c1,OCC1CCC(CO)CC1,CCC(CO)(CO)CO,CC(CO)CO,,,,0.5003,0.1811,0.0405,0.2781,,,,55.52
5,O=C(O)CCCCCCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,OCC1CCC(CO)CC1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,,,0.2025,0.2975,0.2385,0.2115,0.05,,,19.0
5,O=C(O)CCCCCCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,CC(CO)CO,,,0.154,0.346,0.2125,0.0485,0.239,,,19.0
2,O=C(O)CCCCCCCCC(=O)O,OCC1CCC(CO)CC1,,,,,,0.5,0.5,,,,,,-43.66
2,O=C(O)c1cccc(C(=O)O)c1,CC1(C)C(O)C(C)(C)C1O,,,,,,0.5,0.5,,,,,,141.0
2,O=C(O)c1ccc(C(=O)O)cc1,CC(C)(CO)CO,,,,,,0.5,0.5,,,,,,76.0
5,O=C(O)CCCCCCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,CC(C)(CO)CO,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,,,0.18,0.32,0.204,0.2405,0.0555,,,18.0
