n_components,smiles_1,smiles_2,ratio_1,ratio_2,tg
2,O=CC(=O)c1ccc(C(=O)C=O)cc1,Nc1ccc(Oc2ccc(N)c(N)c2)cc1N,0.5,0.5,579.0
2,C=CC=C,C=CC=C,0.5,0.5,269.0
2,C=c1ccc(=C)c(Br)c1,C=c1ccc(=C)c(Br)c1,0.5,0.5,353.0
2,NCCCCCCN,c1cc(OCC2CO2)cc(OCC2CO2)c1,0.333333,0.666667,352.0
2,C=CC1CCCCC1,C=CC1CCCCC1,0.5,0.5,363.0
2,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,NCCN1CCNCC1,0.6,0.4,383.0
2,C=Cc1ccccc1Cl,C=Cc1ccccc1Cl,0.5,0.5,392.0
2,C=C(F)C(F)(F)F,C=C(F)C(F)(F)F,0.5,0.5,315.0
2,Nc1ccc(N)cc1,O=C(O)c1ccc2c(c1)C(=O)OC2=O,0.5,0.5,550.0
2,C=C(C)C(=O)OC(C)CC,C=C(C)C(=O)OC(C)CC,0.5,0.5,330.0
2,C=C(C)C#N,C=C(C)C#N,0.5,0.5,393.0
2,O=C(Cl)Cl,Oc1ccc(C2(c3ccc(O)cc3)CCCCC2)cc1,0.5,0.5,444.0
2,C[Si](=O)CCC(F)(F)F,C[Si](=O)CCC(F)(F)F,0.5,0.5,199.0
2,Nc1cccc(N)c1,O=C1OC(=O)c2cc(Oc3ccc(Oc4ccc(Oc5ccc6c(c5)C(=O)OC6=O)cc4)cc3)ccc21,0.5,0.5,500.0
2,C=Cc1ccc(COCCC)cc1,C=Cc1ccc(COCCC)cc1,0.5,0.5,295.0
2,C=Cc1ccc(C)cc1,C=Cc1ccc(C)cc1,0.5,0.5,374.0
2,OCCCCO,O=C(O)CCCCC(=O)O,0.5,0.5,205.0
2,C1CO1,C1CO1,0.5,0.5,206.0
2,c1cc(N(CC2CO2)CC2CO2)ccc1OCC1CO1,Nc1ccc(Cc2ccc(N)cc2)cc1,0.571429,0.428571,494.0
2,C=Cc1ccccc1,C=Cc1ccccc1,0.5,0.5,373.0
2,c1cc(OCC2CO2)ccc1Cc1ccc(OCC2CO2)cc1,NCCCN,0.666667,0.333333,386.0
2,CC(=O)c1cccc(C(C)=O)c1,Nc1ccccc1C(=O)c1ccc(Oc2ccc(C(=O)c3ccccc3N)cc2)cc1,0.5,0.5,541.0
2,CCCCOCC1CO1,CCCCOCC1CO1,0.5,0.5,194.0
2,C=CC1CCCC1,C=CC1CCCC1,0.5,0.5,348.0
2,Oc1cccc(O)c1,O=C(O)c1cccc(C(=O)O)c1,0.5,0.5,411.0
2,OC(COCC1CO1)COCC1CO1,CC1(C)CC(N)CC(C)(CN)C1,0.666667,0.333333,338.5
2,C=CC(F)(F)F,C=CC(F)(F)F,0.5,0.5,300.0
2,O=C(Cl)Cl,Cc1cc(C(C)(C)c2cc(C)c(O)c(C)c2)cc(C)c1O,0.5,0.5,473.0
2,C=CC(=O)OC(C)CCCCCC,C=CC(=O)OC(C)CCCCCC,0.5,0.5,228.0
2,OCCO,O=C(O)c1cccc(C(=O)O)c1,0.5,0.5,324.0
2,NCCCCCCN,O=C(O)c1cccc(C(=O)O)c1,0.5,0.5,403.0
2,O=C(Cl)Cl,CCCC(CCC)(c1ccc(O)cc1)c1ccc(O)cc1,0.5,0.5,421.0
2,C=Cc1ccc(-c2ccccc2)cc1,C=Cc1ccc(-c2ccccc2)cc1,0.5,0.5,411.0
2,C=C(C)C(=O)OCCC,C=C(C)C(=O)OCCC,0.5,0.5,306.0
2,C=CO,C=COCO,0.5,0.5,378.0
2,C=CC#N,C=CC#N,0.5,0.5,378.0
2,OCCO,O=C(O)CCCCC(=O)O,0.5,0.5,233.0
2,C=CO,C=COC(C)O,0.5,0.5,355.0
2,O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,O=C(O)c1ccc(C2(c3ccc(C(=O)O)cc3)OC(=O)c3ccccc32)cc1,0.5,0.5,583.0
2,C=C(C)C(=O)OC(C)(C)C,C=C(C)C(=O)OC(C)(C)C,0.5,0.5,380.0
2,C=CO,C=COC(O)CC,0.5,0.5,345.0
2,C=COCC(C)C,C=COCC(C)C,0.5,0.5,251.0
2,C1COC1,C1COC1,0.5,0.5,195.0
2,c1ccc(OCC2CO2)cc1,c1ccc(OCC2CO2)cc1,0.5,0.5,315.0
2,C=CC(=O)OCCCCCCCC,C=CC(=O)OCCCCCCCC,0.5,0.5,208.0
2,O=Cc1ccc(C=O)cc1,NN=C(Nc1ccccc1)c1cccc(C(=NN)Nc2ccccc2)c1,0.5,0.5,543.0
2,C=Cc1ccc(OC)cc1C,C=Cc1ccc(OC)cc1C,0.5,0.5,363.0
2,C=Cc1ccc(COC)cc1,C=Cc1ccc(COC)cc1,0.5,0.5,350.0
2,C=Cc1ccc(Cl)cc1Cl,C=Cc1ccc(Cl)cc1Cl,0.5,0.5,406.0
2,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,CC(C)(c1ccc(Oc2ccc(N)cc2)cc1)c1ccc(Oc2ccc(N)cc2)cc1,0.666667,0.333333,442.0
2,CC(=O)c1ccc(Oc2ccc(C(C)=O)cc2)cc1,Nc1ccc(Oc2ccc(N)c(C(=O)c3ccccc3)c2)cc1C(=O)c1ccccc1,0.5,0.5,539.0
2,C=C(C)C(=O)OCCC(C)(C)C,C=C(C)C(=O)OCCC(C)(C)C,0.5,0.5,318.0
2,C=C(C)C(=O)OCCCCCCCCCCCC,C=C(C)C(=O)OCCCCCCCCCCCC,0.5,0.5,218.0
2,c1cc(OCC2CO2)ccc1Cc1ccc(OCC2CO2)cc1,NC1CCC(CC2CCC(N)CC2)CC1,0.666667,0.333333,413.0
2,O=C(Cl)Cl,Oc1ccc(-c2ccccc2Cc2ccccc2-c2ccc(O)cc2)cc1,0.5,0.5,548.0
2,C=COCC,C=COCC,0.5,0.5,254.0
2,OCCO,O=C(O)c1ccc(C(=O)O)cc1,0.5,0.5,345.0
2,C=C,C=C,0.5,0.5,195.0
2,O=C(Cc1ccccc1)c1ccc(C(=O)Cc2ccccc2)cc1,Nc1ccc(Oc2ccc(N)c(C(=O)c3ccccc3)c2)cc1C(=O)c1ccccc1,0.5,0.5,618.0
2,FC(F)=C(F)C(F)(F)F,FC(F)=C(F)C(F)(F)F,0.5,0.5,425.0
2,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,CC(N)COCC(C)OCC(C)OCC(C)N,0.666667,0.333333,372.0
2,Nc1cccc(S(=O)(=O)c2cccc(N)c2)c1,c1cc(OCC2CO2)ccc1OCC1CO1,0.333333,0.666667,423.0
2,O=C(Cl)Cl,CCC(C)(c1ccc(O)c(C)c1)c1ccc(O)c(C)c1,0.5,0.5,392.0
2,Nc1ccccc1C(=O)c1ccc(Oc2ccc(C(=O)c3ccccc3N)cc2)cc1,O=C(Cc1ccccc1)c1ccc(Oc2ccc(C(=O)Cc3ccccc3)cc2)cc1,0.5,0.5,618.0
2,c1cc(N(CC2CO2)CC2CO2)ccc1OCC1CO1,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,0.571429,0.428571,523.0
2,NCc1ccc(CN)cc1,O=C(O)CCCCCCCCC(=O)O,0.5,0.5,388.0
2,c1cc(N(CC2CO2)CC2CO2)ccc1Cc1ccc(N(CC2CO2)CC2CO2)cc1,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,0.5,0.5,524.0
2,O=C(O)CCCCC(=O)O,OCCCCCCCCCCO,0.5,0.5,217.0
2,C=CC(=C)Cl,C=CC(=C)Cl,0.5,0.5,225.0
2,C=CC(=O)OC(CC)CC,C=CC(=O)OC(CC)CC,0.5,0.5,257.0
2,C=COCCCCC,C=COCCCCC,0.5,0.5,207.0
2,O=CC(=O)c1ccc(C(=O)C=O)cc1,Nc1ccc(C(=O)c2ccc(N)c(N)c2)cc1N,0.5,0.5,591.0
2,C=C(C)C(=O)OCC(C)C,C=C(C)C(=O)OCC(C)C,0.5,0.5,321.0
2,NCCCCCCN,O=C1OC(=O)c2cc(Oc3ccc(Oc4ccc(Oc5ccc6c(c5)C(=O)OC6=O)cc4)cc3)ccc21,0.5,0.5,401.0
2,C=c1ccc(=C)c(CC)c1,C=c1ccc(=C)c(CC)c1,0.5,0.5,298.0
2,C=c1cc(C)c(=C)cc1C,C=c1cc(C)c(=C)cc1C,0.5,0.5,373.0
2,O=C(Cl)Cl,CCC(C)(c1ccc(O)cc1)c1ccc(O)cc1,0.5,0.5,407.0
